time,node_type,node_id,xt_0,xt_1,xt_2,xt_3,xb_0,xb_1,xb_2
2,Node1,9,1.652,0.167,0.841,1.517,0,0,0
2,Node1,10,3.341,0.059,1.979,3.057,0,0,0
2,Node1,11,2.71,0.546,1.587,2.15,0,0,0
2,Node1,12,2.172,0.727,1.561,1.891,0,0,0
2,Node1,13,1.569,0.168,0.607,1.292,0,0,0
2,Node1,14,2.339,0.233,1.049,1.781,0,0,0
2,Node1,15,2.641,0.037,0.297,2.028,0,0,0
2,Node1,16,2.952,0.413,0.857,2.002,0,0,0
2,Node1,17,3.42,0.254,0.849,2.635,0,0,0
2,Node1,18,3.378,0.007,2.306,2.601,0,0,0
2,Node1,19,1.837,0.089,2.905,1.108,0,0,0
2,Node1,20,3.828,0.36,0.973,2.2,0,0,0
2,Node1,21,2.651,0.044,0.484,2.111,0,0,0
2,Node1,22,1.577,0.288,0.581,0.808,0,0,0
2,Node1,23,2.144,0.293,0.437,1.234,0,0,0
2,Node1,24,2.077,0.12,0.167,1.277,0,0,0
2,Node1,25,2.338,0.306,0.585,1.283,0,0,0
2,Node1,26,1.973,0.498,1.727,1.432,0,0,0
2,Node1,27,0.64,0.002,0.121,0.363,0,0,0
2,Node1,28,1.148,0.142,0.27,0.61,0,0,0
2,Node1,29,1.483,0.122,0.345,0.864,0,0,0
2,Node2,0,0.139,0.21,0.011,0.026,0,0,0
2,Node2,1,0.147,0.228,0.008,0.351,0,0,0
2,Node2,2,0.127,0.184,0.002,0.042,0,0,0
2,Node2,3,0.157,0.217,0.004,0.015,0,0,0
2,Node2,4,0.147,0.227,0.004,0.074,0,0,0
2,Node2,5,0.092,0.118,0.003,0.03,0,0,0
2,Node2,6,0.141,0.159,0.006,0.075,0,0,0
2,Node2,7,0.158,0.216,0.01,0.183,0,0,0
2,Node2,8,0.151,0.206,0.05,0.162,0,0,0
2,Node2,9,0.167,0.238,0.014,0.073,0,0,0
2,Node2,10,0.131,0.176,0.012,0.189,0,0,0
2,Node2,11,0.148,0.2,0.063,0.133,0,0,0
2,Node2,12,0.101,0.117,0.012,0.037,0,0,0
2,Node2,13,0.112,0.14,0.024,0.035,0,0,0
2,Node2,14,0.166,0.198,0.039,0.102,0,0,0
2,Node2,15,0.16,0.242,0.027,0.073,0,0,0
2,Node2,16,0.163,0.234,0.024,0.193,0,0,0
2,Node2,17,0.124,0.193,0.011,0.042,0,0,0
2,Node2,18,0.103,0.138,0.019,0.069,0,0,0
2,Node2,19,0.192,0.264,0.034,0.051,0,0,0
2,Node2,20,0.178,0.125,0.017,0.08,0,0,0
2,Node2,21,0.153,0.222,0.006,0.062,0,0,0
2,Node2,22,0.151,0.206,0.007,0.017,0,0,0
2,Node2,23,0.157,0.176,0.015,0.034,0,0,0
2,Node2,24,0.176,0.229,0.025,0.104,0,0,0
2,Node2,25,0.171,0.217,0.026,0.175,0,0,0
2,Node2,26,0.198,0.214,0.007,0.134,0,0,0
2,Node2,27,0.157,0.209,0.083,0.223,0,0,0
2,Node2,28,0.127,0.217,0.028,0.235,0,0,0
2,Node2,29,0.142,0.166,0.022,0.067,0,0,0
2,Node2,30,0.167,0.17,0.02,0.047,0,0,0
2,Node2,31,0.198,0.221,0.022,0.033,0,0,0
2,Node2,32,0.21,0.2,0.03,0.105,0,0,0
2,Node2,33,0.139,0.165,0.009,0.063,0,0,0
2,Node2,34,0.14,0.204,0.007,0.247,0,0,0
2,Node2,35,0.128,0.179,0.049,0.083,0,0,0
2,Node2,36,0.169,0.244,0.013,0.236,0,0,0
2,Node2,37,0.223,0.268,0.0,0.026,0,0,0
2,Node2,38,0.162,0.426,0.007,0.069,0,0,0
2,Node2,39,0.145,0.201,0.045,0.08,0,0,0
2,Node2,40,0.132,0.235,0.065,0.149,0,0,0
2,Node2,41,0.16,0.204,0.002,0.093,0,0,0
2,Node2,42,0.137,0.189,0.012,0.093,0,0,0
2,Node2,43,0.13,0.16,0.03,0.085,0,0,0
3,Node1,0,3.901,0.194,4.868,2.807,0,0,0
3,Node1,1,0.968,0.241,0.721,0.753,0,0,0
3,Node1,2,1.685,0.082,0.999,1.494,0,0,0
3,Node1,3,4.239,0.26,1.566,2.695,0,0,0
3,Node1,4,2.247,0.162,4.166,1.828,0,0,0
3,Node1,5,1.224,0.03,0.468,1.114,0,0,0
3,Node1,6,1.644,0.271,0.567,0.897,0,0,0
3,Node1,7,3.605,0.207,1.072,2.984,0,0,0
3,Node1,8,2.876,0.257,1.125,1.552,0,0,0
3,Node1,9,1.648,0.354,1.195,1.516,0,0,0
3,Node1,10,3.332,0.16,2.122,3.052,0,0,0
3,Node1,11,2.708,0.643,2.238,2.157,0,0,0
3,Node1,12,2.165,0.051,1.618,1.892,0,0,0
3,Node1,13,1.561,0.349,0.952,1.3,0,0,0
3,Node1,14,2.343,0.856,1.914,1.776,0,0,0
3,Node1,15,2.657,0.144,0.44,2.031,0,0,0
3,Node1,16,2.952,0.526,1.391,2.004,0,0,0
3,Node1,17,3.429,0.428,1.274,2.629,0,0,0
3,Node1,18,3.391,0.055,2.377,2.614,0,0,0
3,Node1,19,1.851,0.06,2.968,1.103,0,0,0
3,Node1,20,3.805,0.079,1.049,2.209,0,0,0
3,Node1,21,2.667,0.533,1.019,2.11,0,0,0
3,Node1,22,1.57,0.291,0.874,0.815,0,0,0
3,Node1,23,2.138,0.322,0.759,1.234,0,0,0
3,Node1,24,2.082,0.051,0.218,1.275,0,0,0
3,Node1,25,2.334,0.387,0.967,1.286,0,0,0
3,Node1,26,1.98,0.648,2.369,1.422,0,0,0
3,Node1,27,0.636,0.061,0.182,0.363,0,0,0
3,Node1,28,1.152,0.028,0.298,0.609,0,0,0
3,Node1,29,1.487,0.001,0.348,0.857,0,0,0
3,Node2,0,0.139,0.21,0.011,0.037,0,0,0
3,Node2,1,0.148,0.228,0.025,0.375,0,0,0
3,Node2,2,0.126,0.184,0.009,0.051,0,0,0
3,Node2,3,0.157,0.217,0.015,0.03,0,0,0
3,Node2,4,0.147,0.225,0.025,0.099,0,0,0
3,Node2,5,0.092,0.117,0.028,0.058,0,0,0
3,Node2,6,0.141,0.159,0.057,0.132,0,0,0
3,Node2,7,0.157,0.217,0.001,0.184,0,0,0
3,Node2,8,0.151,0.205,0.059,0.221,0,0,0
3,Node2,9,0.166,0.24,0.015,0.088,0,0,0
3,Node2,10,0.131,0.176,0.034,0.222,0,0,0
3,Node2,11,0.149,0.201,0.056,0.19,0,0,0
3,Node2,12,0.1,0.116,0.029,0.067,0,0,0
3,Node2,13,0.112,0.14,0.022,0.058,0,0,0
3,Node2,14,0.166,0.197,0.071,0.173,0,0,0
3,Node2,15,0.16,0.242,0.018,0.091,0,0,0
3,Node2,16,0.164,0.235,0.006,0.199,0,0,0
3,Node2,17,0.124,0.194,0.021,0.063,0,0,0
3,Node2,18,0.103,0.138,0.022,0.091,0,0,0
3,Node2,19,0.191,0.263,0.031,0.081,0,0,0
3,Node2,20,0.178,0.124,0.005,0.086,0,0,0
3,Node2,21,0.153,0.221,0.024,0.086,0,0,0
3,Node2,22,0.151,0.207,0.034,0.051,0,0,0
3,Node2,23,0.156,0.176,0.0,0.034,0,0,0
3,Node2,24,0.175,0.229,0.029,0.132,0,0,0
3,Node2,25,0.171,0.217,0.006,0.182,0,0,0
3,Node2,26,0.197,0.213,0.076,0.21,0,0,0
3,Node2,27,0.157,0.21,0.012,0.235,0,0,0
3,Node2,28,0.127,0.218,0.003,0.238,0,0,0
3,Node2,29,0.142,0.166,0.053,0.121,0,0,0
3,Node2,30,0.169,0.17,0.004,0.051,0,0,0
3,Node2,31,0.198,0.221,0.021,0.054,0,0,0
3,Node2,32,0.209,0.2,0.043,0.149,0,0,0
3,Node2,33,0.14,0.165,0.024,0.087,0,0,0
3,Node2,34,0.139,0.203,0.001,0.248,0,0,0
3,Node2,35,0.128,0.177,0.019,0.102,0,0,0
3,Node2,36,0.169,0.244,0.023,0.259,0,0,0
3,Node2,37,0.223,0.268,0.001,0.027,0,0,0
3,Node2,38,0.162,0.424,0.021,0.091,0,0,0
3,Node2,39,0.145,0.199,0.008,0.089,0,0,0
3,Node2,40,0.133,0.234,0.061,0.209,0,0,0
3,Node2,41,0.16,0.204,0.005,0.098,0,0,0
3,Node2,42,0.136,0.189,0.024,0.118,0,0,0
3,Node2,43,0.13,0.159,0.016,0.101,0,0,0
4,Node1,0,3.907,0.663,5.542,2.8,0,0,0
4,Node1,1,0.969,0.316,1.032,0.752,0,0,0
4,Node1,2,1.688,0.43,1.429,1.499,0,0,0
4,Node1,3,4.281,0.116,1.678,2.689,0,0,0
4,Node1,4,2.26,0.282,4.421,1.819,0,0,0
4,Node1,5,1.226,0.343,0.805,1.113,0,0,0
4,Node1,6,1.649,0.144,0.713,0.896,0,0,0
4,Node1,7,3.61,0.097,1.173,2.988,0,0,0
4,Node1,8,2.867,0.014,1.138,1.546,0,0,0
4,Node1,9,1.648,0.318,1.509,1.521,0,0,0
4,Node1,10,3.342,0.084,2.206,3.05,0,0,0
4,Node1,11,2.72,0.721,2.943,2.145,0,0,0
4,Node1,12,2.167,0.665,2.27,1.901,0,0,0
4,Node1,13,1.567,0.076,1.033,1.29,0,0,0
4,Node1,14,2.348,0.921,2.819,1.784,0,0,0
4,Node1,15,2.642,0.2,0.639,2.016,0,0,0
4,Node1,16,2.962,0.183,1.569,1.995,0,0,0
4,Node1,17,3.424,0.606,1.889,2.635,0,0,0
4,Node1,18,3.382,0.121,2.481,2.606,0,0,0
4,Node1,19,1.834,0.153,3.102,1.105,0,0,0
4,Node1,20,3.814,0.447,1.5,2.211,0,0,0
4,Node1,21,2.669,0.401,1.421,2.105,0,0,0
4,Node1,22,1.582,0.081,0.958,0.813,0,0,0
4,Node1,23,2.149,0.25,1.009,1.236,0,0,0
4,Node1,24,2.065,0.265,0.482,1.276,0,0,0
4,Node1,25,2.324,0.289,1.264,1.28,0,0,0
4,Node1,26,1.972,0.598,2.958,1.427,0,0,0
4,Node1,27,0.635,0.051,0.234,0.361,0,0,0
4,Node1,28,1.148,0.059,0.357,0.614,0,0,0
4,Node1,29,1.477,0.237,0.584,0.857,0,0,0
4,Node2,0,0.139,0.209,0.028,0.065,0,0,0
4,Node2,1,0.148,0.228,0.006,0.383,0,0,0
4,Node2,2,0.126,0.183,0.0,0.051,0,0,0
4,Node2,3,0.158,0.219,0.015,0.045,0,0,0
4,Node2,4,0.146,0.226,0.006,0.105,0,0,0
4,Node2,5,0.092,0.117,0.03,0.088,0,0,0
4,Node2,6,0.142,0.159,0.005,0.136,0,0,0
4,Node2,7,0.157,0.217,0.033,0.217,0,0,0
4,Node2,8,0.15,0.204,0.005,0.227,0,0,0
4,Node2,9,0.166,0.238,0.041,0.129,0,0,0
4,Node2,10,0.131,0.175,0.018,0.241,0,0,0
4,Node2,11,0.15,0.201,0.005,0.195,0,0,0
4,Node2,12,0.1,0.116,0.031,0.097,0,0,0
4,Node2,13,0.113,0.14,0.017,0.074,0,0,0
4,Node2,14,0.166,0.198,0.074,0.248,0,0,0
4,Node2,15,0.161,0.241,0.026,0.116,0,0,0
4,Node2,16,0.164,0.233,0.001,0.2,0,0,0
4,Node2,17,0.124,0.193,0.013,0.077,0,0,0
4,Node2,18,0.104,0.138,0.003,0.095,0,0,0
4,Node2,19,0.191,0.264,0.017,0.099,0,0,0
4,Node2,20,0.177,0.124,0.06,0.146,0,0,0
4,Node2,21,0.152,0.222,0.033,0.119,0,0,0
4,Node2,22,0.152,0.206,0.057,0.108,0,0,0
4,Node2,23,0.156,0.177,0.008,0.042,0,0,0
4,Node2,24,0.176,0.229,0.031,0.163,0,0,0
4,Node2,25,0.17,0.217,0.003,0.184,0,0,0
4,Node2,26,0.199,0.214,0.017,0.227,0,0,0
4,Node2,27,0.156,0.21,0.019,0.254,0,0,0
4,Node2,28,0.128,0.218,0.024,0.265,0,0,0
4,Node2,29,0.142,0.167,0.048,0.169,0,0,0
4,Node2,30,0.168,0.171,0.018,0.068,0,0,0
4,Node2,31,0.199,0.222,0.005,0.06,0,0,0
4,Node2,32,0.208,0.2,0.067,0.215,0,0,0
4,Node2,33,0.139,0.165,0.01,0.096,0,0,0
4,Node2,34,0.139,0.203,0.024,0.273,0,0,0
4,Node2,35,0.128,0.179,0.035,0.137,0,0,0
4,Node2,36,0.168,0.243,0.007,0.265,0,0,0
4,Node2,37,0.223,0.268,0.007,0.034,0,0,0
4,Node2,38,0.162,0.425,0.023,0.114,0,0,0
4,Node2,39,0.145,0.2,0.052,0.141,0,0,0
4,Node2,40,0.133,0.235,0.028,0.238,0,0,0
4,Node2,41,0.16,0.206,0.031,0.129,0,0,0
4,Node2,42,0.137,0.189,0.083,0.199,0,0,0
4,Node2,43,0.131,0.16,0.034,0.136,0,0,0
5,Node1,0,3.905,0.252,5.779,2.813,0,0,0
5,Node1,1,0.971,0.136,1.171,0.751,0,0,0
5,Node1,2,1.675,0.245,1.672,1.497,0,0,0
5,Node1,3,4.256,0.252,1.925,2.676,0,0,0
5,Node1,4,2.26,0.319,4.764,1.826,0,0,0
5,Node1,5,1.227,0.387,1.198,1.112,0,0,0
5,Node1,6,1.65,0.063,0.777,0.896,0,0,0
5,Node1,7,3.631,0.315,1.478,2.968,0,0,0
5,Node1,8,2.881,0.013,1.147,1.548,0,0,0
5,Node1,9,1.659,0.016,1.533,1.515,0,0,0
5,Node1,10,3.346,0.411,2.63,3.051,0,0,0
5,Node1,11,2.71,0.697,3.664,2.167,0,0,0
5,Node1,12,2.161,0.221,2.498,1.893,0,0,0
5,Node1,13,1.568,0.185,1.214,1.296,0,0,0
5,Node1,14,2.341,0.692,3.529,1.79,0,0,0
5,Node1,15,2.655,0.103,0.742,2.03,0,0,0
5,Node1,16,2.944,0.347,1.917,2.007,0,0,0
5,Node1,17,3.416,0.173,2.065,2.634,0,0,0
5,Node1,18,3.397,0.415,2.917,2.607,0,0,0
5,Node1,19,1.838,0.126,3.226,1.11,0,0,0
5,Node1,20,3.828,0.057,1.561,2.199,0,0,0
5,Node1,21,2.653,0.401,1.816,2.114,0,0,0
5,Node1,22,1.576,0.106,1.055,0.81,0,0,0
5,Node1,23,2.15,0.333,1.345,1.242,0,0,0
5,Node1,24,2.065,0.012,0.493,1.281,0,0,0
5,Node1,25,2.326,0.189,1.444,1.285,0,0,0
5,Node1,26,1.974,0.094,3.063,1.428,0,0,0
5,Node1,27,0.638,0.127,0.359,0.363,0,0,0
5,Node1,28,1.154,0.024,0.384,0.613,0,0,0
5,Node1,29,1.483,0.043,0.625,0.858,0,0,0
5,Node2,0,0.139,0.21,0.009,0.074,0,0,0
5,Node2,1,0.148,0.227,0.01,0.39,0,0,0
5,Node2,2,0.127,0.184,0.023,0.075,0,0,0
5,Node2,3,0.157,0.218,0.009,0.054,0,0,0
5,Node2,4,0.147,0.225,0.021,0.125,0,0,0
5,Node2,5,0.092,0.117,0.013,0.102,0,0,0
5,Node2,6,0.142,0.159,0.052,0.19,0,0,0
5,Node2,7,0.157,0.215,0.031,0.247,0,0,0
5,Node2,8,0.151,0.205,0.009,0.236,0,0,0
5,Node2,9,0.166,0.24,0.018,0.147,0,0,0
5,Node2,10,0.131,0.175,0.04,0.279,0,0,0
5,Node2,11,0.15,0.201,0.023,0.218,0,0,0
5,Node2,12,0.1,0.116,0.024,0.122,0,0,0
5,Node2,13,0.113,0.141,0.018,0.093,0,0,0
5,Node2,14,0.166,0.197,0.057,0.305,0,0,0
5,Node2,15,0.16,0.241,0.023,0.14,0,0,0
5,Node2,16,0.164,0.235,0.013,0.213,0,0,0
5,Node2,17,0.125,0.194,0.022,0.098,0,0,0
5,Node2,18,0.104,0.139,0.018,0.112,0,0,0
5,Node2,19,0.192,0.265,0.004,0.104,0,0,0
5,Node2,20,0.177,0.124,0.018,0.164,0,0,0
5,Node2,21,0.153,0.223,0.042,0.161,0,0,0
5,Node2,22,0.15,0.206,0.014,0.122,0,0,0
5,Node2,23,0.157,0.175,0.013,0.056,0,0,0
5,Node2,24,0.176,0.228,0.003,0.167,0,0,0
5,Node2,25,0.171,0.216,0.008,0.193,0,0,0
5,Node2,26,0.198,0.212,0.056,0.284,0,0,0
5,Node2,27,0.156,0.209,0.008,0.262,0,0,0
5,Node2,28,0.127,0.217,0.001,0.265,0,0,0
5,Node2,29,0.142,0.167,0.048,0.217,0,0,0
5,Node2,30,0.168,0.17,0.005,0.074,0,0,0
5,Node2,31,0.198,0.221,0.005,0.066,0,0,0
5,Node2,32,0.21,0.199,0.041,0.256,0,0,0
5,Node2,33,0.14,0.165,0.036,0.133,0,0,0
5,Node2,34,0.139,0.202,0.023,0.296,0,0,0
5,Node2,35,0.128,0.177,0.016,0.153,0,0,0
5,Node2,36,0.169,0.243,0.022,0.287,0,0,0
5,Node2,37,0.222,0.268,0.016,0.051,0,0,0
5,Node2,38,0.163,0.425,0.017,0.13,0,0,0
5,Node2,39,0.145,0.201,0.029,0.169,0,0,0
5,Node2,40,0.132,0.235,0.052,0.29,0,0,0
5,Node2,41,0.16,0.205,0.026,0.155,0,0,0
5,Node2,42,0.136,0.189,0.001,0.199,0,0,0
5,Node2,43,0.13,0.16,0.05,0.185,0,0,0
6,Node1,0,3.936,0.203,5.977,2.813,0,0,0
6,Node1,1,0.963,0.164,1.334,0.749,0,0,0
6,Node1,2,1.685,0.158,1.839,1.494,0,0,0
6,Node1,3,4.28,0.419,2.356,2.672,0,0,0
6,Node1,4,2.253,0.129,4.895,1.824,0,0,0
6,Node1,5,1.229,0.358,1.556,1.115,0,0,0
6,Node1,6,1.651,0.082,0.86,0.898,0,0,0
6,Node1,7,3.609,0.601,2.082,2.969,0,0,0
6,Node1,8,2.892,0.463,1.618,1.544,0,0,0
6,Node1,9,1.65,0.385,1.92,1.529,0,0,0
6,Node1,10,3.346,0.124,2.741,3.035,0,0,0
6,Node1,11,2.709,0.18,3.821,2.153,0,0,0
6,Node1,12,2.167,0.42,2.929,1.901,0,0,0
6,Node1,13,1.567,0.321,1.529,1.295,0,0,0
6,Node1,14,2.345,0.31,3.813,1.777,0,0,0
6,Node1,15,2.652,0.281,1.019,2.028,0,0,0
6,Node1,16,2.956,0.016,1.942,1.997,0,0,0
6,Node1,17,3.416,0.32,2.382,2.625,0,0,0
6,Node1,18,3.373,0.099,2.995,2.604,0,0,0
